Description,Category,Urgency,Sentiment
My subscription payment failed.,Issue,Medium,Neutral
My subscription payment failed.,Issue,Medium,Neutral
The website is slow to load.,Technical Issue,High,Neutral
I'm unable to reset my password.,Feature Request,Low,Negative
I'm not receiving email notifications from the platform.,Feature Request,High,Neutral
The website is slow to load.,Feature Request,High,Negative
I'm not receiving email notifications from the platform.,Technical Issue,Medium,Negative
My subscription payment failed.,Billing Inquiry,Low,Neutral
The application crashes whenever I try to open it.,Technical Issue,Low,Positive
I'm unable to reset my password.,Billing Inquiry,Medium,Positive
I would like to suggest adding a new feature to the platform.,Billing Inquiry,Medium,Positive
I'm unable to reset my password.,Feature Request,Medium,Neutral
I'm unable to reset my password.,Feature Request,High,Neutral
I have a question about my recent invoice.,Feature Request,Medium,Neutral
My subscription payment failed.,Feature Request,Low,Neutral
I'm experiencing issues with logging into my account.,Technical Issue,Medium,Neutral
I'm satisfied with the service provided.,Feature Request,High,Positive
I'm encountering errors when trying to checkout.,Feature Request,Low,Neutral
I would like to suggest adding a new feature to the platform.,Billing Inquiry,Medium,Neutral
The application crashes whenever I try to open it.,Feature Request,High,Neutral
The application crashes whenever I try to open it.,Feature Request,Low,Neutral
I'm not receiving email notifications from the platform.,Feature Request,Medium,Neutral
My subscription payment failed.,Feature Request,Low,Negative
I'm encountering errors when trying to checkout.,Technical Issue,High,Positive
I'm satisfied with the service provided.,Technical Issue,Medium,Positive
The application crashes whenever I try to open it.,Billing Inquiry,High,Negative
I'm satisfied with the service provided.,Billing Inquiry,Low,Positive
I'm satisfied with the service provided.,Technical Issue,Low,Negative
I would like to suggest adding a new feature to the platform.,Feature Request,Medium,Negative
I'm not receiving email notifications from the platform.,Technical Issue,High,Neutral
The application crashes whenever I try to open it.,Billing Inquiry,Medium,Neutral
I'm unable to reset my password.,Billing Inquiry,Low,Positive
My subscription payment failed.,Billing Inquiry,Low,Positive
The website is slow to load.,Billing Inquiry,Medium,Positive
I'm unable to reset my password.,Technical Issue,Low,Neutral
The application crashes whenever I try to open it.,Feature Request,Low,Neutral
I'm encountering errors when trying to checkout.,Billing Inquiry,Medium,Negative
The website is slow to load.,Technical Issue,High,Positive
I would like to suggest adding a new feature to the platform.,Feature Request,Low,Neutral
I'm unable to reset my password.,Technical Issue,Low,Neutral
I have a question about my recent invoice.,Technical Issue,Low,Neutral
I have a question about my recent invoice.,Billing Inquiry,High,Negative
I have a question about my recent invoice.,Technical Issue,Low,Negative
I would like to suggest adding a new feature to the platform.,Billing Inquiry,High,Neutral
I'm satisfied with the service provided.,Billing Inquiry,Medium,Neutral
The application crashes whenever I try to open it.,Technical Issue,Low,Positive
I would like to suggest adding a new feature to the platform.,Billing Inquiry,Low,Neutral
I'm not receiving email notifications from the platform.,Technical Issue,Low,Negative
I'm unable to reset my password.,Technical Issue,Medium,Neutral
The website is slow to load.,Technical Issue,Medium,Negative
I'm encountering errors when trying to checkout.,Feature Request,Low,Negative
I'm encountering errors when trying to checkout.,Billing Inquiry,Medium,Neutral
I'm not receiving email notifications from the platform.,Technical Issue,Low,Negative
I would like to suggest adding a new feature to the platform.,Technical Issue,Low,Negative
I'm encountering errors when trying to checkout.,Feature Request,Medium,Neutral
I would like to suggest adding a new feature to the platform.,Technical Issue,Medium,Positive
I'm not receiving email notifications from the platform.,Billing Inquiry,Low,Positive
I'm experiencing issues with logging into my account.,Billing Inquiry,Medium,Positive
I'm not receiving email notifications from the platform.,Technical Issue,Medium,Positive
I'm satisfied with the service provided.,Feature Request,Low,Neutral
My subscription payment failed.,Feature Request,Low,Positive
I'm satisfied with the service provided.,Billing Inquiry,Low,Positive
My subscription payment failed.,Technical Issue,High,Neutral
I have a question about my recent invoice.,Technical Issue,Low,Neutral
The website is slow to load.,Technical Issue,Medium,Negative
I would like to suggest adding a new feature to the platform.,Billing Inquiry,Low,Negative
My subscription payment failed.,Feature Request,High,Positive
I'm experiencing issues with logging into my account.,Billing Inquiry,Medium,Positive
I'm unable to reset my password.,Feature Request,Medium,Negative
